,0,2,4,6,8,16
1,123.0,123.0,123.0,123.0,123.0,123.0
2,155.0,137.0,129.0,121.0,117.0,127.0
5,75.0,101.0,109.0,89.0,93.0,109.0
10,63.0,101.0,69.0,85.0,101.0,77.0
