,4,8,12,16,24,36
1,8.7,10.5,12.9,15.1,20.0,16.1
2,6.7,7.9,9.7,8.4,14.3,14.7
5,9.0,19.7,7.9,8.0,8.0,8.5
10,11.5,8.7,7.1,6.8,7.6,7.5
15,14.8,9.4,7.9,6.9,6.4,8.0
20,16.8,10.6,9.5,8.8,7.4,8.3
30,21.9,14.9,10.8,9.1,9.1,9.2
50,30.9,18.8,14.4,12.9,9.3,12.7
100,61.5,30.9,22.3,22.5,17.9,21.5
