,0,2,4,8,16
1,6.6,6.5,4.6,6.0,8.1
2,8.6,9.5,6.3,8.3,12.7
5,17.1,12.6,8.7,10.2,14.5
10,51.4,18.4,17.1,20.1,26.2
15,52.6,21.4,12.5,12.1,15.4
20,83.2,26.3,14.2,14.0,17.6
