,0,2,4,8,16
1,123.0,123.0,123.0,123.0,123.0
2,121.0,121.0,121.0,121.0,121.0
5,111.0,111.0,111.0,111.0,111.0
10,57.0,57.0,57.0,57.0,57.0
15,77.0,77.0,77.0,77.0,77.0
20,61.0,61.0,61.0,61.0,61.0
