,2,4,8,16
1,123.0,123.0,123.0,123.0
2,125.0,121.0,89.0,83.0
5,85.0,55.0,73.0,83.0
10,69.0,51.0,107.0,99.0
15,51.0,51.0,69.0,35.0
20,39.0,59.0,41.0,49.0
30,63.0,45.0,37.0,49.0
50,39.0,41.0,37.0,59.0
100,39.0,33.0,47.0,35.0
