,4,8,12,16,24,36
1,123.0,123.0,123.0,123.0,123.0,123.0
2,123.0,113.0,129.0,115.0,123.0,111.0
5,91.0,95.0,95.0,111.0,71.0,129.0
10,89.0,69.0,51.0,69.0,55.0,51.0
15,61.0,93.0,61.0,91.0,67.0,37.0
20,25.0,55.0,43.0,39.0,65.0,55.0
30,51.0,37.0,67.0,71.0,53.0,75.0
50,43.0,41.0,35.0,45.0,31.0,37.0
100,37.0,37.0,47.0,43.0,45.0,35.0
