,8,12,16,24,36,72
1,7.2,7.7,8.6,11.2,14.5,28.2
2,7.2,5.9,7.1,6.0,8.7,14.3
5,6.6,7.3,7.1,7.2,8.7,13.4
10,7.8,7.9,7.0,7.3,8.2,11.9
15,9.5,8.1,7.6,7.0,8.3,12.7
20,10.4,8.3,7.2,7.1,8.3,12.5
30,14.0,10.6,9.5,7.8,10.2,13.6
50,17.0,15.8,12.7,10.1,10.3,15.7
100,36.3,24.0,19.8,18.8,19.5,25.4
