,8,12,16,24,36,72
1,123.0,123.0,123.0,123.0,123.0,123.0
2,115.0,149.0,127.0,101.0,119.0,125.0
5,95.0,79.0,115.0,117.0,95.0,113.0
10,69.0,83.0,75.0,75.0,63.0,75.0
15,63.0,83.0,93.0,55.0,57.0,71.0
20,69.0,33.0,31.0,55.0,41.0,57.0
30,57.0,37.0,47.0,57.0,55.0,55.0
50,53.0,31.0,47.0,39.0,37.0,41.0
100,47.0,35.0,33.0,39.0,39.0,39.0
